species       length
"scotch pine" 52.2
"scotch pine" 56.4
"scotch pine" 57.1
"scotch pine" 46.9
"scotch pine" 49.1
"scotch pine" 52.5
"scotch pine" 63.0
"scotch pine" 52.0
"scotch pine" 61.1
"scotch pine" 55.3
"scotch pine" 46.2
"scotch pine" 57.2
"blue spruce" 46.7
"blue spruce" 60.5
"blue spruce" 58.9
"blue spruce" 82.9
"blue spruce" 65.8
"blue spruce" 93.3
"blue spruce" 66.9
"blue spruce" 70.9
"blue spruce" 73.7
"blue spruce" 65.8
"blue spruce" 90.2
"blue spruce" 68.9
"white pine"  75.2
"white pine"  63.7
"white pine"  73.2
"white pine"  66.2
"white pine"  67.4
"white pine"  69.4
"white pine"  70.4
"white pine"  72.3
"white pine"  63.6
"white pine"  61.9
"white pine"  74.4
"white pine"  70.1
